NUM,DESCRIPTION,HEIGHT,LEN,WIDTH,WEIGHT,PRICE
BAO-TUB-0271-CSNDMSND,LOTUS Pedicure Tub - Raw Base (Coastal Sand - Moroccan Sand),21.0,56.0,26.5,77.0,450.0
BAO-TUB-0271-CSNDSPC,LOTUS Pedicure Tub - Raw Base (Coastal Sand - SPACY-Org Glass bowl),21.0,56.0,26.5,77.0,450.0
JAT-NRTBL-911,AVON I Reception Table - Q,44.0,57.5,28.0,400.0,750.0
BAO-TUB-0271-CSNDRBY - Void,LOTUS Pedicure Tub - Raw Base (Coastal Sand - Ruby Pearl),21.0,56.0,26.5,75.0,425.0
BAO-TUB-028-CINNUT,FEDORA Pedicure Tub - Completely Built Base (Spicy Cinnamon - Hazelnut) Resin bowl,21.0,56.0,26.5,90.0,525.0
00-HON-BS-66,Styling Chair Base,1.0,22.5,22.5,16.0,42.0
BAO-TUB-029-BLKBG,ALESSI Pedicure Tub - Raw Base (Black - Burgundy),26.0,55.0,20.0,85.0,525.0
BAO-TUB-029-CINCSND,ALESSI Pedicure Tub - Raw Base (Spicy Cinnamon - Coastal Sand),26.0,55.0,20.0,85.0,525.0
BAO-TUB-029-CSNDCIN,ALESSI Pedicure Tub - Raw Base (Coastal Sand - Spicy Cinnamon),26.0,55.0,20.0,85.0,525.0
BAO-TUB-030-BR,ARROJO Pedicure Tub - Raw Base (Brown),26.0,55.0,20.0,85.0,450.0
BAO-TUB-031-CSNDCIN,FIOR Pedicure Tub - Raw Base (Coastal Sand - Spicy Cinnamon),20.5,55.0,28.0,85.0,525.0
BAO-TUB-032-CSNDCIN,LENOIR Pedicure Tub - Raw Base (Coastal Sand - Spicy Cinnamon),26.0,55.0,20.0,85.0,525.0
00-CON-NTBL-AMRST-BG,Manicure Table Armrest (Burgundy),2.0,17.0,3.0,1.0,7.5
00-CON-NTBL-AMRST-BLK,Manicure Table Armrest (Black),2.0,17.0,3.0,1.0,7.5
00-CON-NTBL-AMRST-CPO,Manicure Table Armrest (Cappuccino),1.25,16.5,3.0,1.0,7.5
CON-NCRT-241,ALERA Pedicart Stool,15.0,24.0,15.0,40.0,78.0
00-HON-BS-12,Styling Chair Base,0.0,0.0,0.0,15.5,28.0
CON-NCRT-341,SEDONA Pedicart Stool,15.0,24.0,15.0,40.0,78.0
CON-NCRT-641,BERKELEY Pedicart Stool,15.0,24.0,15.0,40.0,78.0
CON-NDRY-221,ALERA Nail Dryer Table,40.0,50.0,17.0,112.0,450.0
CON-NDRY-321,SEDONA Nail Dryer Table,40.0,50.0,17.0,113.0,450.0
CON-NDRY-621,BERKELEY Nail Dryer Table,40.0,50.0,17.0,113.0,450.0
CON-NPORK-2501,ALERA Nail Polish Rack,4.0,29.0,26.0,12.0,36.0
CON-NPORK-3501,SEDONA Nail Polish Rack,4.0,29.0,26.0,12.0,36.0
CON-NPORK-6501,BERKELEY Nail Polish Rack,4.0,29.0,26.0,12.0,36.0
CON-NRTBL-212,ALERA Reception Table with Display - Center Piece,47.0,46.0,19.0,125.0,495.0
CON-NRTBL-212-A,ALERA Reception Table - Side Cabinet,45.0,17.0,13.0,45.0,95.0
CON-NRTBL-312,SEDONA Reception Table with Display - Center Piece,47.0,46.0,19.0,125.0,495.0
